gender,Age,quantity,payment_method,w,Arrival_Time,Start_Time,Finish_Time,Wait_Time,Queue_Length,Counter_Number,Day
Female,16,16,Cash,2021-01-01,11:51:00,12:16:00,12:21:00,0 days 00:25:00,5,3,Friday
Female,41,28,Debit Card,2021-01-01,11:51:00,12:17:00,12:23:00,0 days 00:26:00,5,1,Friday
Male,38,15,Debit Card,2021-01-01,11:51:00,12:18:00,12:23:00,0 days 00:27:00,5,2,Friday
Male,17,20,Cash,2021-01-01,11:52:00,12:21:00,12:26:00,0 days 00:29:00,5,3,Friday
Male,22,30,Debit Card,2021-01-01,11:53:00,12:23:00,12:30:00,0 days 00:30:00,6,1,Friday
Male,49,10,Cash,2021-01-01,11:55:00,12:23:00,12:27:00,0 days 00:28:00,5,2,Friday
Female,17,24,Credit Card,2021-01-01,11:56:00,12:26:00,12:32:00,0 days 00:30:00,6,3,Friday
Male,54,29,Debit Card,2021-01-01,11:56:00,12:27:00,12:33:00,0 days 00:31:00,6,2,Friday
Male,47,19,Credit Card,2021-01-01,12:00:00,12:30:00,12:35:00,0 days 00:30:00,5,1,Friday
Female,42,18,Cash,2021-01-01,12:01:00,12:32:00,12:37:00,0 days 00:31:00,6,3,Friday
Male,63,12,Credit Card,2021-01-01,12:03:00,12:33:00,12:38:00,0 days 00:30:00,6,2,Friday
Female,31,30,Cash,2021-01-01,12:05:00,12:35:00,12:42:00,0 days 00:30:00,6,1,Friday
Male,26,24,Cash,2021-01-01,12:06:00,12:37:00,12:42:00,0 days 00:31:00,6,3,Friday
Female,48,24,Cash,2021-01-01,12:06:00,12:38:00,12:43:00,0 days 00:32:00,6,2,Friday
Male,27,25,Cash,2021-01-01,12:08:00,12:42:00,12:48:00,0 days 00:34:00,6,1,Friday
Female,65,11,Credit Card,2021-01-01,12:09:00,12:42:00,12:47:00,0 days 00:33:00,7,3,Friday
Male,27,16,Credit Card,2021-01-01,12:09:00,12:43:00,12:47:00,0 days 00:34:00,7,2,Friday
Male,47,21,Credit Card,2021-01-01,12:10:00,12:47:00,12:52:00,0 days 00:37:00,8,2,Friday
Male,37,14,Cash,2021-01-01,12:11:00,12:47:00,12:53:00,0 days 00:36:00,8,3,Friday
Female,29,28,Credit Card,2021-01-01,12:15:00,12:48:00,12:55:00,0 days 00:33:00,6,1,Friday
Female,30,28,Cash,2021-01-01,12:16:00,12:52:00,13:01:00,0 days 00:32:00,8,2,Friday
Female,56,20,Cash,2021-01-01,12:20:00,12:53:00,12:59:00,0 days 00:33:00,7,3,Friday
Female,38,17,Cash,2021-01-01,12:20:00,12:55:00,13:00:00,0 days 00:35:00,6,1,Friday
Male,58,26,Credit Card,2021-01-01,12:21:00,12:59:00,13:06:00,0 days 00:38:00,8,3,Friday
Female,52,24,Debit Card,2021-01-01,12:22:00,13:00:00,13:05:00,0 days 00:38:00,8,1,Friday
Male,50,26,Credit Card,2021-01-01,12:23:00,13:01:00,13:07:00,0 days 00:38:00,8,2,Friday
Male,13,25,Credit Card,2021-01-01,12:28:00,13:05:00,13:10:00,0 days 00:37:00,7,1,Friday
Male,24,16,Credit Card,2021-01-01,12:28:00,13:06:00,13:10:00,0 days 00:38:00,7,3,Friday
Female,55,10,Cash,2021-01-01,12:28:00,13:07:00,13:11:00,0 days 00:39:00,7,2,Friday
Male,43,12,Credit Card,2021-01-01,12:30:00,13:10:00,13:14:00,0 days 00:40:00,8,1,Friday
Male,23,22,Cash,2021-01-01,12:35:00,13:10:00,13:16:00,0 days 00:35:00,7,3,Friday
Female,14,21,Debit Card,2021-01-01,12:40:00,13:11:00,13:16:00,0 days 00:31:00,6,2,Friday
Female,18,13,Cash,2021-01-01,12:42:00,13:14:00,13:19:00,0 days 00:32:00,7,1,Friday
Female,62,16,Cash,2021-01-01,12:45:00,13:16:00,13:21:00,0 days 00:31:00,6,3,Friday
Female,46,13,Credit Card,2021-01-01,12:46:00,13:16:00,13:20:00,0 days 00:30:00,5,2,Friday
Male,34,25,Cash,2021-01-01,12:48:00,13:19:00,13:26:00,0 days 00:31:00,7,1,Friday
Male,15,22,Cash,2021-01-01,12:58:00,13:20:00,13:27:00,0 days 00:22:00,5,2,Friday
Male,65,21,Credit Card,2021-01-01,13:00:00,13:21:00,13:27:00,0 days 00:21:00,4,3,Friday
Female,65,23,Cash,2021-01-01,13:05:00,13:26:00,13:33:00,0 days 00:21:00,5,1,Friday
Male,62,29,Debit Card,2021-01-01,13:07:00,13:27:00,13:35:00,0 days 00:20:00,5,2,Friday
Female,62,27,Credit Card,2021-01-01,13:10:00,13:27:00,13:35:00,0 days 00:17:00,4,3,Friday
Female,27,27,Cash,2021-01-01,16:06:00,16:06:00,16:13:00,0 days 00:00:00,0,1,Friday
Female,42,13,Cash,2021-01-01,16:07:00,16:07:00,16:12:00,0 days 00:00:00,0,2,Friday
Male,37,16,Credit Card,2021-01-01,16:19:00,16:19:00,16:24:00,0 days 00:00:00,0,3,Friday
Male,65,30,Credit Card,2021-01-01,16:23:00,16:23:00,16:29:00,0 days 00:00:00,0,1,Friday
Female,64,15,Credit Card,2021-01-01,16:26:00,16:26:00,16:31:00,0 days 00:00:00,0,2,Friday
Female,43,17,Credit Card,2021-01-01,16:26:00,16:26:00,16:30:00,0 days 00:00:00,0,3,Friday
Female,22,13,Cash,2021-01-01,16:29:00,16:29:00,16:33:00,0 days 00:00:00,0,1,Friday
Male,20,25,Credit Card,2021-01-01,16:30:00,16:30:00,16:35:00,0 days 00:00:00,0,3,Friday
Female,47,29,Cash,2021-01-01,16:30:00,16:31:00,16:37:00,0 days 00:01:00,1,2,Friday
Male,19,27,Credit Card,2021-01-01,16:40:00,16:40:00,16:45:00,0 days 00:00:00,0,1,Friday
Female,33,29,Cash,2021-01-01,16:56:00,16:56:00,17:04:00,0 days 00:00:00,0,2,Friday
Male,65,20,Credit Card,2021-01-01,17:08:00,17:08:00,17:13:00,0 days 00:00:00,0,1,Friday
Female,40,21,Cash,2021-01-01,17:16:00,17:16:00,17:21:00,0 days 00:00:00,0,1,Friday
Female,23,20,Cash,2021-01-01,18:08:00,18:08:00,18:14:00,0 days 00:00:00,0,1,Friday
Female,18,26,Credit Card,2021-01-01,18:10:00,18:10:00,18:16:00,0 days 00:00:00,0,2,Friday
Female,29,24,Credit Card,2021-01-01,18:13:00,18:13:00,18:18:00,0 days 00:00:00,0,3,Friday
Female,45,11,Cash,2021-01-01,18:20:00,18:20:00,18:24:00,0 days 00:00:00,0,1,Friday
Female,42,12,Cash,2021-01-01,18:29:00,18:29:00,18:33:00,0 days 00:00:00,0,1,Friday
Female,14,22,Credit Card,2021-01-01,18:33:00,18:33:00,18:38:00,0 days 00:00:00,0,2,Friday
Male,20,30,Credit Card,2021-01-01,18:36:00,18:36:00,18:43:00,0 days 00:00:00,0,1,Friday
Male,38,19,Cash,2021-01-01,19:00:00,19:00:00,19:05:00,0 days 00:00:00,0,1,Friday
Male,32,25,Credit Card,2021-01-01,19:54:00,19:54:00,20:00:00,0 days 00:00:00,0,1,Friday
Female,43,22,Cash,2021-01-01,19:54:00,19:54:00,20:00:00,0 days 00:00:00,0,2,Friday
Male,37,24,Debit Card,2021-01-01,19:57:00,19:57:00,20:03:00,0 days 00:00:00,0,3,Friday
Female,33,11,Cash,2021-01-01,19:57:00,20:00:00,20:04:00,0 days 00:03:00,1,1,Friday
Female,38,20,Cash,2021-01-01,19:57:00,20:00:00,20:06:00,0 days 00:03:00,1,2,Friday
Female,13,15,Cash,2021-01-02,11:02:00,11:02:00,11:09:00,0 days 00:00:00,0,1,Saturday
Female,40,30,Credit Card,2021-01-02,11:08:00,11:08:00,11:22:00,0 days 00:00:00,0,2,Saturday
Male,54,10,Cash,2021-01-02,11:11:00,11:11:00,11:18:00,0 days 00:00:00,0,3,Saturday
Male,25,24,Credit Card,2021-01-02,11:11:00,11:12:00,11:19:00,0 days 00:00:00,0,1,Saturday
Female,50,19,Credit Card,2021-01-02,11:14:00,11:18:00,11:28:00,0 days 00:04:00,1,3,Saturday
Female,27,27,Credit Card,2021-01-02,11:19:00,11:19:00,11:26:00,0 days 00:00:00,0,1,Saturday
Female,32,10,Credit Card,2021-01-02,11:19:00,11:22:00,11:26:00,0 days 00:03:00,1,2,Saturday
Male,52,23,Cash,2021-01-02,11:19:00,11:26:00,11:37:00,0 days 00:07:00,1,1,Saturday
Male,44,17,Cash,2021-01-02,11:20:00,11:26:00,11:33:00,0 days 00:06:00,2,2,Saturday
Male,29,18,Cash,2021-01-02,11:22:00,11:28:00,11:34:00,0 days 00:06:00,1,3,Saturday
Female,44,11,Cash,2021-01-02,11:22:00,11:33:00,11:39:00,0 days 00:11:00,2,2,Saturday
Male,38,27,Debit Card,2021-01-02,11:23:00,11:34:00,11:43:00,0 days 00:11:00,2,3,Saturday
Male,52,19,Cash,2021-01-02,11:23:00,11:37:00,11:47:00,0 days 00:14:00,1,1,Saturday
Female,44,28,Cash,2021-01-02,11:26:00,11:39:00,11:50:00,0 days 00:13:00,3,2,Saturday
Female,58,11,Credit Card,2021-01-02,11:26:00,11:43:00,11:49:00,0 days 00:17:00,3,3,Saturday
Female,55,22,Debit Card,2021-01-02,11:29:00,11:47:00,11:57:00,0 days 00:18:00,2,1,Saturday
Female,65,21,Credit Card,2021-01-02,11:32:00,11:49:00,11:59:00,0 days 00:17:00,3,3,Saturday
Male,32,14,Debit Card,2021-01-02,12:36:00,12:36:00,12:40:00,0 days 00:00:00,0,1,Saturday
Female,13,15,Cash,2021-01-02,12:37:00,12:37:00,12:42:00,0 days 00:00:00,0,2,Saturday
Female,27,18,Credit Card,2021-01-02,12:38:00,12:38:00,12:44:00,0 days 00:00:00,0,3,Saturday
Female,65,17,Debit Card,2021-01-02,12:42:00,12:42:00,12:52:00,0 days 00:00:00,0,1,Saturday
Female,23,30,Cash,2021-01-02,12:42:00,12:42:00,12:51:00,0 days 00:00:00,0,2,Saturday
Female,29,22,Cash,2021-01-02,12:42:00,12:44:00,12:52:00,0 days 00:02:00,1,3,Saturday
Female,49,21,Credit Card,2021-01-02,12:43:00,12:51:00,12:59:00,0 days 00:08:00,1,2,Saturday
Female,27,28,Cash,2021-01-02,12:44:00,12:52:00,12:58:00,0 days 00:08:00,1,1,Saturday
Male,28,22,Debit Card,2021-01-02,12:44:00,12:52:00,12:59:00,0 days 00:08:00,1,3,Saturday
Male,48,26,Cash,2021-01-02,12:45:00,12:58:00,13:10:00,0 days 00:13:00,2,1,Saturday
Female,17,22,Cash,2021-01-02,12:45:00,12:59:00,13:06:00,0 days 00:14:00,2,2,Saturday
Female,25,11,Credit Card,2021-01-02,12:47:00,12:59:00,13:03:00,0 days 00:12:00,2,3,Saturday
Male,42,12,Credit Card,2021-01-02,12:50:00,13:03:00,13:08:00,0 days 00:13:00,3,3,Saturday
Female,44,15,Cash,2021-01-02,12:50:00,13:06:00,13:12:00,0 days 00:16:00,3,2,Saturday
Female,41,15,Credit Card,2021-01-02,12:52:00,13:08:00,13:13:00,0 days 00:16:00,4,3,Saturday
Male,55,21,Debit Card,2021-01-02,12:54:00,13:10:00,13:19:00,0 days 00:16:00,2,1,Saturday
Female,28,13,Credit Card,2021-01-02,12:56:00,13:12:00,13:15:00,0 days 00:16:00,3,2,Saturday
Female,15,26,Cash,2021-01-02,12:59:00,13:13:00,13:20:00,0 days 00:14:00,4,3,Saturday
Female,25,30,Cash,2021-01-02,12:59:00,13:15:00,13:23:00,0 days 00:16:00,4,2,Saturday
Male,56,12,Credit Card,2021-01-02,16:00:00,16:00:00,16:05:00,0 days 00:00:00,0,1,Saturday
Female,27,14,Credit Card,2021-01-02,16:04:00,16:04:00,16:09:00,0 days 00:00:00,0,2,Saturday
Female,29,22,Credit Card,2021-01-02,16:06:00,16:06:00,16:12:00,0 days 00:00:00,0,1,Saturday
Male,28,28,Debit Card,2021-01-02,16:07:00,16:07:00,16:12:00,0 days 00:00:00,0,3,Saturday
Female,55,27,Credit Card,2021-01-02,16:19:00,16:19:00,16:30:00,0 days 00:00:00,0,1,Saturday
Female,51,19,Cash,2021-01-02,16:23:00,16:23:00,16:32:00,0 days 00:00:00,0,2,Saturday
Female,56,26,Cash,2021-01-02,16:26:00,16:26:00,16:32:00,0 days 00:00:00,0,3,Saturday
Female,53,23,Credit Card,2021-01-02,16:26:00,16:30:00,16:39:00,0 days 00:04:00,1,1,Saturday
Female,36,30,Cash,2021-01-02,16:29:00,16:32:00,16:41:00,0 days 00:03:00,1,2,Saturday
Male,31,12,Credit Card,2021-01-02,16:30:00,16:32:00,16:37:00,0 days 00:02:00,1,3,Saturday
Female,20,11,Debit Card,2021-01-02,16:30:00,16:37:00,16:41:00,0 days 00:07:00,2,3,Saturday
Male,34,27,Cash,2021-01-02,16:40:00,16:40:00,16:50:00,0 days 00:00:00,0,1,Saturday
Female,46,15,Cash,2021-01-02,16:56:00,16:56:00,17:02:00,0 days 00:00:00,0,1,Saturday
Female,44,30,Credit Card,2021-01-02,17:08:00,17:08:00,17:18:00,0 days 00:00:00,0,1,Saturday
Male,55,10,Cash,2021-01-02,17:16:00,17:16:00,17:22:00,0 days 00:00:00,0,2,Saturday
Female,57,11,Cash,2021-01-02,17:21:00,17:21:00,17:26:00,0 days 00:00:00,0,1,Saturday
Female,35,25,Debit Card,2021-01-02,17:42:00,17:42:00,17:49:00,0 days 00:00:00,0,1,Saturday
Male,58,15,Credit Card,2021-01-02,17:48:00,17:48:00,17:54:00,0 days 00:00:00,0,2,Saturday
Male,23,18,Debit Card,2021-01-02,17:48:00,17:48:00,17:55:00,0 days 00:00:00,0,3,Saturday
Female,28,17,Credit Card,2021-01-02,17:51:00,17:51:00,17:55:00,0 days 00:00:00,0,1,Saturday
Male,19,10,Debit Card,2021-01-02,17:52:00,17:54:00,17:57:00,0 days 00:02:00,1,2,Saturday
Male,57,16,Cash,2021-01-02,17:57:00,17:57:00,18:05:00,0 days 00:00:00,0,1,Saturday
Female,18,30,Credit Card,2021-01-02,18:49:00,18:49:00,18:57:00,0 days 00:00:00,0,1,Saturday
Female,37,22,Debit Card,2021-01-02,18:50:00,18:50:00,18:56:00,0 days 00:00:00,0,2,Saturday
Male,38,30,Cash,2021-01-02,18:54:00,18:54:00,19:02:00,0 days 00:00:00,0,3,Saturday
Female,55,20,Debit Card,2021-01-02,18:55:00,18:56:00,19:04:00,0 days 00:01:00,1,2,Saturday
Female,55,18,Debit Card,2021-01-02,18:58:00,18:58:00,19:05:00,0 days 00:00:00,0,1,Saturday
Male,52,10,Debit Card,2021-01-02,19:00:00,19:02:00,19:06:00,0 days 00:02:00,1,3,Saturday
Female,13,24,Cash,2021-01-02,19:02:00,19:04:00,19:11:00,0 days 00:02:00,1,2,Saturday
Male,15,24,Cash,2021-01-02,19:06:00,19:06:00,19:13:00,0 days 00:00:00,0,1,Saturday
Female,18,12,Cash,2021-01-02,19:07:00,19:07:00,19:11:00,0 days 00:00:00,0,3,Saturday
Female,54,20,Cash,2021-01-02,19:09:00,19:11:00,19:17:00,0 days 00:02:00,1,2,Saturday
Male,41,13,Credit Card,2021-01-02,19:09:00,19:11:00,19:17:00,0 days 00:02:00,1,3,Saturday
Female,30,29,Credit Card,2021-01-02,19:14:00,19:14:00,19:21:00,0 days 00:00:00,0,1,Saturday
Female,15,25,Cash,2021-01-02,19:16:00,19:17:00,19:24:00,0 days 00:01:00,1,2,Saturday
Female,56,13,Debit Card,2021-01-02,19:17:00,19:17:00,19:23:00,0 days 00:00:00,0,3,Saturday
Male,38,25,Cash,2021-01-02,19:19:00,19:21:00,19:28:00,0 days 00:02:00,1,1,Saturday
Female,14,25,Cash,2021-01-02,19:20:00,19:23:00,19:31:00,0 days 00:03:00,1,3,Saturday
Male,13,14,Credit Card,2021-01-02,19:20:00,19:24:00,19:28:00,0 days 00:04:00,1,2,Saturday
Male,42,13,Cash,2021-01-02,19:26:00,19:28:00,19:33:00,0 days 00:02:00,1,1,Saturday
Female,30,22,Cash,2021-01-02,19:32:00,19:32:00,19:38:00,0 days 00:00:00,0,2,Saturday
Male,34,17,Credit Card,2021-01-02,19:36:00,19:36:00,19:41:00,0 days 00:00:00,0,1,Saturday
Female,22,19,Credit Card,2021-01-02,19:36:00,19:36:00,19:40:00,0 days 00:00:00,0,3,Saturday
Male,26,23,Debit Card,2021-01-02,19:41:00,19:41:00,19:47:00,0 days 00:00:00,0,2,Saturday
Female,57,18,Credit Card,2021-01-02,19:41:00,19:41:00,19:47:00,0 days 00:00:00,0,1,Saturday
Male,24,17,Cash,2021-01-02,19:43:00,19:43:00,19:49:00,0 days 00:00:00,0,3,Saturday
Female,18,18,Debit Card,2021-01-02,19:45:00,19:47:00,19:52:00,0 days 00:02:00,1,1,Saturday
Female,22,21,Debit Card,2021-01-02,19:49:00,19:49:00,19:55:00,0 days 00:00:00,0,2,Saturday
Female,23,18,Credit Card,2021-01-02,19:50:00,19:50:00,19:54:00,0 days 00:00:00,0,3,Saturday
Female,32,18,Cash,2021-01-02,19:50:00,19:52:00,19:58:00,0 days 00:02:00,1,1,Saturday
Female,47,11,Cash,2021-01-02,19:52:00,19:54:00,19:59:00,0 days 00:02:00,1,3,Saturday
Female,45,15,Debit Card,2021-01-02,19:52:00,19:55:00,20:00:00,0 days 00:03:00,1,2,Saturday
Male,27,26,Cash,2021-01-02,19:54:00,19:58:00,20:05:00,0 days 00:06:00,1,1,Saturday
Female,52,13,Credit Card,2021-01-02,19:57:00,19:59:00,20:04:00,0 days 00:02:00,1,3,Saturday
Male,47,17,Credit Card,2021-01-02,20:00:00,20:00:00,20:06:00,0 days 00:00:00,0,2,Saturday
Male,35,16,Debit Card,2021-01-02,20:10:00,20:10:00,20:15:00,0 days 00:00:00,0,1,Saturday
Male,64,25,Cash,2021-01-02,20:11:00,20:11:00,20:19:00,0 days 00:00:00,0,2,Saturday
Female,27,10,Debit Card,2021-01-02,20:12:00,20:12:00,20:16:00,0 days 00:00:00,0,3,Saturday
Female,23,12,Credit Card,2021-01-02,20:13:00,20:15:00,20:19:00,0 days 00:02:00,1,1,Saturday
Female,29,19,Cash,2021-01-02,20:15:00,20:16:00,20:22:00,0 days 00:01:00,1,3,Saturday
Female,36,28,Cash,2021-01-02,20:23:00,20:23:00,20:30:00,0 days 00:00:00,0,1,Saturday
Male,34,16,Cash,2021-01-02,20:23:00,20:23:00,20:28:00,0 days 00:00:00,0,2,Saturday
Male,52,16,Cash,2021-01-02,20:23:00,20:23:00,20:29:00,0 days 00:00:00,0,3,Saturday
Male,54,16,Debit Card,2021-01-02,20:25:00,20:28:00,20:33:00,0 days 00:03:00,1,2,Saturday
Female,16,13,Credit Card,2021-01-02,20:30:00,20:30:00,20:34:00,0 days 00:00:00,0,1,Saturday
Female,39,17,Cash,2021-01-02,20:30:00,20:30:00,20:35:00,0 days 00:00:00,0,3,Saturday
Female,59,19,Credit Card,2021-01-02,20:32:00,20:33:00,20:39:00,0 days 00:01:00,1,2,Saturday
Female,59,18,Cash,2021-01-02,20:35:00,20:35:00,20:41:00,0 days 00:00:00,0,1,Saturday
Female,29,26,Cash,2021-01-02,20:35:00,20:35:00,20:42:00,0 days 00:00:00,0,3,Saturday
Female,25,15,Credit Card,2021-01-03,11:04:00,11:04:00,11:09:00,0 days 00:00:00,0,1,Sunday
Male,45,26,Cash,2021-01-03,11:04:00,11:04:00,11:12:00,0 days 00:00:00,0,2,Sunday
Female,45,21,Credit Card,2021-01-03,11:05:00,11:05:00,11:12:00,0 days 00:00:00,0,3,Sunday
Female,22,20,Cash,2021-01-03,11:06:00,11:09:00,11:16:00,0 days 00:03:00,1,1,Sunday
Female,29,25,Credit Card,2021-01-03,11:08:00,11:12:00,11:18:00,0 days 00:04:00,1,2,Sunday
Female,53,11,Debit Card,2021-01-03,11:08:00,11:12:00,11:17:00,0 days 00:04:00,1,3,Sunday
Female,43,10,Cash,2021-01-03,11:08:00,11:16:00,11:20:00,0 days 00:08:00,2,1,Sunday
Male,24,24,Credit Card,2021-01-03,11:11:00,11:17:00,11:24:00,0 days 00:06:00,2,3,Sunday
Female,22,21,Debit Card,2021-01-03,11:11:00,11:18:00,11:24:00,0 days 00:07:00,2,2,Sunday
Male,43,25,Credit Card,2021-01-03,11:14:00,11:20:00,11:26:00,0 days 00:06:00,2,1,Sunday
Female,40,27,Debit Card,2021-01-03,11:19:00,11:24:00,11:32:00,0 days 00:05:00,1,2,Sunday
Female,27,20,Credit Card,2021-01-03,11:19:00,11:24:00,11:31:00,0 days 00:05:00,1,3,Sunday
Female,23,15,Cash,2021-01-03,11:19:00,11:26:00,11:31:00,0 days 00:07:00,2,1,Sunday
Female,45,11,Credit Card,2021-01-03,11:20:00,11:31:00,11:35:00,0 days 00:11:00,2,3,Sunday
Male,25,28,Cash,2021-01-03,11:22:00,11:31:00,11:39:00,0 days 00:09:00,2,1,Sunday
Male,60,18,Debit Card,2021-01-03,11:22:00,11:32:00,11:38:00,0 days 00:10:00,2,2,Sunday
Female,19,25,Cash,2021-01-03,11:23:00,11:35:00,11:42:00,0 days 00:12:00,3,3,Sunday
Female,47,11,Cash,2021-01-03,11:23:00,11:38:00,11:42:00,0 days 00:15:00,3,2,Sunday
Female,57,28,Debit Card,2021-01-03,11:26:00,11:39:00,11:46:00,0 days 00:20:00,3,1,Sunday
Male,63,17,Cash,2021-01-03,11:26:00,11:42:00,11:47:00,0 days 00:16:00,3,2,Sunday
Female,61,11,Cash,2021-01-03,11:29:00,11:42:00,11:48:00,0 days 00:13:00,3,3,Sunday
Female,17,15,Cash,2021-01-03,11:32:00,11:46:00,11:51:00,0 days 00:14:00,2,1,Sunday
Male,28,23,Cash,2021-01-03,12:36:00,12:36:00,12:40:00,0 days 00:00:00,0,1,Sunday
Male,44,12,Credit Card,2021-01-03,12:37:00,12:37:00,12:41:00,0 days 00:00:00,0,2,Sunday
Male,17,10,Cash,2021-01-03,12:38:00,12:38:00,12:42:00,0 days 00:00:00,0,3,Sunday
Female,57,21,Credit Card,2021-01-03,12:42:00,12:42:00,12:47:00,0 days 00:00:00,0,1,Sunday
Female,48,11,Debit Card,2021-01-03,12:42:00,12:42:00,12:46:00,0 days 00:00:00,0,2,Sunday
Female,27,16,Credit Card,2021-01-03,12:42:00,12:42:00,12:48:00,0 days 00:00:00,0,3,Sunday
Female,37,25,Cash,2021-01-03,12:43:00,12:46:00,12:53:00,0 days 00:03:00,1,2,Sunday
Female,26,15,Cash,2021-01-03,12:44:00,12:47:00,12:52:00,0 days 00:03:00,1,1,Sunday
Female,58,17,Cash,2021-01-03,12:44:00,12:48:00,12:54:00,0 days 00:04:00,1,3,Sunday
Female,36,15,Cash,2021-01-03,12:45:00,12:52:00,12:57:00,0 days 00:07:00,2,1,Sunday
Male,58,30,Credit Card,2021-01-03,12:45:00,12:53:00,13:01:00,0 days 00:08:00,2,2,Sunday
Male,23,17,Debit Card,2021-01-03,12:47:00,12:54:00,12:59:00,0 days 00:07:00,2,3,Sunday
Female,15,18,Cash,2021-01-03,12:50:00,12:57:00,13:01:00,0 days 00:07:00,2,1,Sunday
Female,26,12,Credit Card,2021-01-03,12:50:00,12:59:00,13:03:00,0 days 00:09:00,2,3,Sunday
Female,65,15,Credit Card,2021-01-03,12:52:00,13:01:00,13:06:00,0 days 00:09:00,3,1,Sunday
Male,29,30,Debit Card,2021-01-03,12:54:00,13:01:00,13:10:00,0 days 00:07:00,1,2,Sunday
Female,59,25,Credit Card,2021-01-03,16:00:00,16:00:00,16:05:00,0 days 00:00:00,0,1,Sunday
